This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:      758
Number of nonzeros in inequality constraint Jacobian.:       40
Number of nonzeros in Lagrangian Hessian.............:      660

Total number of variables............................:      248
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      218
Total number of inequality constraints...............:       40
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       40

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 2.6071321e+01 9.31e-02 1.00e+03  -0.8 1.41e+02    -  5.27e-04 1.02e-03f  1
  71r 2.6071321e+01 9.31e-02 9.99e+02  -1.0 0.00e+00   5.4 0.00e+00 3.93e-07R  4
  72r 2.6746018e+01 8.38e-02 9.97e+02  -1.0 1.17e+02    -  5.93e-03 1.36e-03f  1
  73r 2.8360684e+01 5.79e-02 9.95e+02  -1.0 1.02e+02    -  1.40e-03 2.81e-03f  1
  74  2.8365183e+01 5.79e-02 4.13e+02  -1.7 2.17e+00   4.9 1.01e-02 1.17e-03h  1
  75  2.8365250e+01 5.79e-02 6.65e+05  -1.7 2.13e+00   4.4 5.35e-01 2.01e-05h  1
  76  2.8371187e+01 5.78e-02 7.09e+05  -1.7 2.10e+00   4.8 2.58e-03 1.25e-03h  1
  77  2.8372513e+01 5.78e-02 1.97e+06  -1.7 8.41e+00   4.4 1.92e-02 9.27e-05h  1
  78  2.8419979e+01 5.76e-02 2.75e+06  -1.7 9.45e+00   3.9 2.49e-02 3.75e-03h  1
  79  2.8422864e+01 5.76e-02 3.61e+06  -1.7 1.10e+01   3.4 1.58e-02 8.27e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.8506485e+01 5.75e-02 3.62e+06  -1.7 2.79e+01   2.9 8.86e-04 8.12e-04h  1
  81r 2.8506485e+01 5.75e-02 1.00e+03  -1.2 0.00e+00   2.4 0.00e+00 4.92e-07R  5
  82r 2.9570121e+01 4.96e-02 1.00e+03  -1.2 1.45e+02    -  2.99e-03 1.26e-03f  1
  83r 2.9570121e+01 4.96e-02 9.99e+02  -1.3 0.00e+00   2.0 0.00e+00 3.77e-07R  4
  84r 3.0779816e+01 4.88e-02 9.98e+02  -1.3 1.42e+02    -  1.03e-02 1.41e-03f  1
  85r 3.3027000e+01 4.78e-02 9.93e+02  -1.3 6.99e+01    -  2.83e-02 4.89e-03f  1
  86r 3.4628500e+01 4.73e-02 9.82e+02  -1.3 2.63e+01    -  6.31e-02 1.03e-02f  1
  87r 3.6232613e+01 4.70e-02 9.56e+02  -1.3 1.89e+01    -  1.14e-01 2.64e-02f  1
  88r 3.8185293e+01 4.70e-02 8.80e+02  -1.3 1.09e+01    -  1.39e-01 7.98e-02f  1
  89r 3.9116952e+01 4.74e-02 7.99e+02  -1.3 4.32e+00    -  2.06e-01 9.24e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 3.9471719e+01 4.75e-02 7.45e+02  -1.3 3.38e+00    -  3.17e-03 7.13e-02f  1
  91r 3.9649939e+01 4.76e-02 7.28e+02  -1.3 3.27e+00    -  3.32e-01 2.07e-02f  1
  92r 4.4354870e+01 4.82e-02 4.29e+02  -1.3 3.21e+00    -  7.09e-01 4.10e-01f  1
  93r 4.3811166e+01 4.82e-02 4.17e+01  -1.3 3.99e-01   0.0 1.00e+00 9.05e-01f  1
  94r 4.3071717e+01 4.96e-02 4.87e+01  -1.3 5.51e-01  -0.5 1.00e+00 1.00e+00f  1
  95r 4.4647157e+01 4.93e-02 7.69e+01  -1.3 7.58e+00  -1.0 4.99e-02 5.08e-02f  2
  96r 4.5082282e+01 4.96e-02 2.76e+01  -1.3 3.58e-01  -0.5 1.00e+00 1.00e+00f  1
  97r 4.4932837e+01 4.97e-02 7.97e+00  -1.3 7.57e-02  -0.1 1.00e+00 1.00e+00f  1
  98r 4.5257680e+01 4.99e-02 3.30e+01  -1.3 2.22e-01  -0.6 1.00e+00 1.00e+00f  1
  99r 4.5325852e+01 4.99e-02 5.14e+00  -1.3 5.20e-02  -0.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 4.5994509e+01 4.99e-02 5.98e+01  -1.3 3.78e-01  -0.6 1.00e+00 1.00e+00f  1
 101r 4.6064673e+01 5.00e-02 6.78e+00  -1.3 5.93e-02  -0.2 1.00e+00 1.00e+00h  1
 102r 4.6067868e+01 5.00e-02 1.66e+00  -1.3 2.02e-02   0.2 1.00e+00 1.00e+00h  1
 103r 4.6233781e+01 5.04e-02 9.87e+01  -2.0 1.81e-01  -0.3 1.00e+00 6.69e-01f  1
 104r 4.7234985e+01 5.06e-02 4.99e+01  -2.0 2.63e-01   0.2 1.00e+00 8.63e-01f  1
 105r 4.9792043e+01 5.07e-02 4.45e+02  -2.0 1.18e+00  -0.3 1.35e-01 5.68e-01f  1
 106r 5.0079594e+01 5.06e-02 4.56e+02  -2.0 1.01e-01   1.0 8.94e-01 3.52e-01f  1
 107r 5.0154011e+01 5.07e-02 6.74e+00  -2.0 1.87e-02   1.4 1.00e+00 1.00e+00f  1
 108r 5.0824084e+01 5.07e-02 4.25e+01  -2.0 8.80e-02   1.0 1.00e+00 1.00e+00f  1
 109r 5.1046636e+01 5.08e-02 7.85e+00  -2.0 3.00e-02   1.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 5.2180448e+01 5.08e-02 6.79e+01  -2.0 1.53e-01   0.9 1.00e+00 9.28e-01f  1
 111r 5.2564796e+01 5.09e-02 1.66e+01  -2.0 4.99e-02   1.3 1.00e+00 1.00e+00f  1
 112r 5.4410553e+01 5.10e-02 1.03e+02  -2.0 2.58e-01   0.9 7.18e-01 8.55e-01f  1
 113r 5.4529397e+01 5.10e-02 3.60e+02  -2.0 5.61e-01   0.4 2.39e-01 3.04e-02f  1
 114r 5.4738917e+01 5.09e-02 6.85e+02  -2.0 3.28e-01  -0.1 5.58e-01 1.40e-01f  1
 115r 5.7034891e+01 5.04e-02 4.40e+02  -2.0 2.09e+00  -0.6 1.26e-01 2.58e-01f  1
 116r 5.7977450e+01 5.09e-02 2.86e+02  -2.0 3.13e-01  -0.1 4.44e-01 9.18e-01f  1
 117r 5.8098344e+01 5.09e-02 1.80e+02  -2.0 1.07e-01   0.3 4.50e-01 3.07e-01f  1
 118r 6.0350047e+01 5.11e-02 1.75e+02  -2.0 3.42e-01  -0.2 3.98e-01 1.00e+00f  1
 119r 6.1047241e+01 5.11e-02 1.44e+01  -2.0 1.11e-01   0.2 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 6.2496655e+01 5.12e-02 8.24e+01  -2.0 3.08e-01  -0.2 1.00e+00 7.39e-01f  1
 121r 6.2732182e+01 5.12e-02 1.08e+01  -2.0 1.03e-01   0.2 1.00e+00 1.00e+00f  1
 122r 6.4552194e+01 5.12e-02 3.69e+01  -2.0 3.15e-01  -0.3 1.00e+00 1.00e+00f  1
 123r 6.5044890e+01 5.12e-02 1.34e+01  -2.0 1.08e-01   0.1 1.00e+00 1.00e+00h  1
 124r 6.8051328e+01 5.13e-02 5.46e+01  -2.0 3.50e-01  -0.3 1.00e+00 1.00e+00f  1
